name,lat,lon,corridor
Hitec City Main Rd,17.4435,78.3772,it-corridor
Madhapur Cyber Towers,17.4483,78.3915,it-corridor
Gachibowli Junction,17.4401,78.3489,it-corridor
Kondapur X Roads,17.4640,78.3640,it-corridor
Financial District,17.4180,78.3400,it-corridor
Nanakramguda,17.4200,78.3450,it-corridor
Biodiversity Junction,17.4300,78.3630,it-corridor
Jubilee Hills Check Post,17.4239,78.4138,central
Banjara Hills Road No 1,17.4126,78.4482,central
Panjagutta Junction,17.4256,78.4500,central
Somajiguda,17.4230,78.4560,central
Khairatabad,17.4090,78.4650,central
Lakdikapul,17.4020,78.4610,central
Ameerpet Metro,17.4374,78.4487,central
SR Nagar,17.4419,78.4462,central
Begumpet,17.4443,78.4649,central
Rasoolpura,17.4450,78.4780,central
Paradise Circle,17.4416,78.4877,secunderabad
Secunderabad Station,17.4344,78.5013,secunderabad
Tank Bund,17.4239,78.4738,central
Nampally,17.3880,78.4650,old-city
Abids,17.3897,78.4747,old-city
Koti,17.3850,78.4867,old-city
Chaderghat,17.3760,78.4870,old-city
Charminar,17.3616,78.4747,old-city
Malakpet,17.3740,78.5030,old-city
Dilsukhnagar,17.3687,78.5247,east
LB Nagar Ring Rd,17.3457,78.5522,east
Uppal X Roads,17.4020,78.5590,east
Nacharam,17.4250,78.5580,east
ECIL X Roads,17.4740,78.5720,north-east
Mehdipatnam,17.3950,78.4360,south-west
Tolichowki,17.3960,78.4050,south-west
Attapur,17.3610,78.4230,south-west
Rajendranagar,17.3200,78.4000,south-west
Manikonda,17.4030,78.3760,south-west
Narsingi,17.3900,78.3350,south-west
Kukatpally Y Junction,17.4849,78.4138,north-west
KPHB Colony,17.4930,78.3990,north-west
Miyapur X Roads,17.4960,78.3580,north-west
Bachupally,17.5450,78.3700,north-west
Lingampally,17.4890,78.3170,north-west
Patancheru,17.5300,78.2650,north-west
Kompally,17.5400,78.4870,north
Medchal,17.6290,78.4810,north
PVNR Expressway Mid,17.3300,78.4200,expressway
Shamshabad RGIA,17.2403,78.4294,expressway
ORR Gachibowli Exit,17.4200,78.3300,orr
ORR Shamirpet,17.5900,78.5600,orr
ORR Pedda Amberpet,17.3200,78.6000,orr
