scenario_id,timestamp,road_id,u,v,key,road_type,length_m,traffic_density,vehicle_count,average_speed,free_flow_speed,congestion,congestion_level,flow_pcu_h,road_status,incident_type
peak_hour,2026-08-27 18:30:00,1277837771_1277837905_0,1277837771,1277837905,0,primary,23.2,206.9,7,6.9,50.0,0.8621,severe,1426.9,open,
heavy_congestion,2026-08-27 18:30:00,12774496881_12774496882_0,12774496881,12774496882,0,primary_link,13.0,310.39,5,6.7,30.0,0.776,severe,2086.1,open,
peak_hour,2026-08-27 18:30:00,3579902805_2744203330_0,3579902805,2744203330,0,secondary,144.6,179.3,35,11.0,38.0,0.7097,severe,1977.7,open,
clearing,2026-08-27 21:00:00,2246173372_1318415378_0,2246173372,1318415378,0,secondary,128.7,46.59,8,31.0,38.0,0.1844,low,1443.8,open,
heavy_congestion,2026-08-27 18:30:00,7568427019_3618964868_0,7568427019,3618964868,0,secondary,12.2,240.0,4,5.0,38.0,0.95,severe,1200.0,open,
accident,2026-08-27 17:30:00,11539576961_11539576962_0,11539576961,11539576962,0,primary,74.1,123.28,12,23.0,60.0,0.6164,heavy,2837.4,open,
heavy_congestion,2026-08-27 18:30:00,4308409940_4308409938_0,4308409940,4308409938,0,primary,14.1,150.3,3,14.9,60.0,0.7515,severe,2241.1,open,
peak_hour,2026-08-27 18:30:00,11953197593_3208734234_0,11953197593,3208734234,0,trunk,59.4,183.74,15,14.1,60.0,0.7656,severe,2584.2,open,
heavy_congestion,2026-08-27 18:30:00,3157674011_3157674010_0,3157674011,3157674010,0,primary,34.1,167.05,8,9.9,60.0,0.8352,severe,1651.4,open,
normal,2026-08-27 14:00:00,321187088_5486109315_0,321187088,5486109315,0,secondary,33.3,56.1,3,29.6,38.0,0.2221,low,1658.4,open,
road_closure,2026-08-27 16:00:00,3059813236_312819965_0,3059813236,312819965,0,trunk,145.0,79.98,16,40.0,60.0,0.3332,moderate,3199.6,open,
clearing,2026-08-27 21:00:00,11563748001_11043474466_0,11563748001,11043474466,0,secondary,353.3,36.93,18,32.4,38.0,0.1462,low,1198.3,open,
accident,2026-08-27 17:30:00,11045663092_13713352133_0,11045663092,13713352133,0,primary,101.4,218.42,30,16.3,60.0,0.7281,severe,3563.8,open,
accident,2026-08-27 17:30:00,7682117716_8348447233_0,7682117716,8348447233,0,trunk,4.3,127.36,1,28.2,60.0,0.5307,heavy,3586.5,open,
multiple_congested,2026-08-27 18:00:00,3618962198_571173651_0,3618962198,571173651,0,secondary,177.9,205.3,49,7.1,38.0,0.8126,severe,1461.7,open,
clearing,2026-08-27 21:00:00,3602307556_3602307571_0,3602307556,3602307571,0,secondary,25.5,27.51,1,33.9,38.0,0.1089,low,931.5,open,
road_closure,2026-08-27 16:00:00,3943263553_4196542195_0,3943263553,4196542195,0,secondary,92.2,49.54,6,41.4,60.0,0.3096,moderate,2052.1,open,
peak_hour,2026-08-27 18:30:00,3618950039_7602169150_0,3618950039,7602169150,0,secondary,9.6,117.96,2,15.8,60.0,0.7373,severe,1859.6,open,
peak_hour,2026-08-27 18:30:00,13381234539_2803358295_0,13381234539,2803358295,0,secondary,223.0,124.17,38,13.4,60.0,0.7761,severe,1668.3,open,
accident,2026-08-27 17:30:00,12240913341_7579728200_0,12240913341,7579728200,0,primary,21.7,169.58,5,9.1,60.0,0.8479,severe,1547.5,open,
road_closure,2026-08-27 16:00:00,571158896_571158898_0,571158896,571158898,0,secondary,33.1,61.94,3,28.7,38.0,0.2452,low,1776.6,open,
peak_hour,2026-08-27 18:30:00,3518387699_3518387717_0,3518387699,3518387717,0,primary,590.2,338.93,271,6.9,45.0,0.8473,severe,2328.6,open,
accident,2026-08-27 17:30:00,11568868210_6514122471_0,11568868210,6514122471,0,secondary,201.4,74.05,20,32.2,60.0,0.4628,moderate,2386.7,open,
sudden_congestion,2026-08-27 15:00:00,2590077962_13417481772_0,2590077962,13417481772,0,trunk,40.9,41.94,2,49.5,60.0,0.1747,low,2076.6,open,
road_closure,2026-08-27 16:00:00,3598267568_3598267667_0,3598267568,3598267667,0,trunk,76.2,53.97,6,46.5,60.0,0.2249,low,2510.0,open,
normal,2026-08-27 14:00:00,2822548676_2822548700_0,2822548676,2822548700,0,secondary,77.9,44.83,5,31.3,38.0,0.1775,low,1401.3,open,
heavy_congestion,2026-08-27 18:30:00,3820619145_6149484604_0,3820619145,6149484604,0,primary,48.7,168.07,11,9.6,60.0,0.8403,severe,1610.0,open,
multiple_congested,2026-08-27 18:00:00,308532015_3612560721_0,308532015,3612560721,0,secondary,48.1,149.83,10,11.0,50.0,0.7804,severe,1645.4,open,
accident,2026-08-27 17:30:00,2730522680_307062214_0,2730522680,307062214,0,trunk,28.5,158.89,6,22.4,50.0,0.5517,heavy,3561.5,open,
peak_hour,2026-08-27 18:30:00,4193285602_7680172225_0,4193285602,7680172225,0,secondary,219.7,168.57,50,12.6,38.0,0.6673,heavy,2131.4,open,
heavy_congestion,2026-08-27 18:30:00,352754374_2835239047_0,352754374,2835239047,0,secondary,88.3,172.68,21,12.0,38.0,0.6835,heavy,2076.6,open,
clearing,2026-08-27 21:00:00,7139727352_11202903619_0,7139727352,11202903619,0,trunk,459.6,29.82,19,52.5,60.0,0.1242,low,1566.9,open,
clearing,2026-08-27 21:00:00,1869496180_5208872085_0,1869496180,5208872085,0,primary,43.3,38.41,2,48.5,60.0,0.192,low,1862.0,open,
road_closure,2026-08-27 16:00:00,7796343650_11499568770_0,7796343650,11499568770,0,secondary,78.3,62.39,7,28.6,38.0,0.247,low,1785.3,open,
accident,2026-08-27 17:30:00,667238316_11568574023_0,667238316,11568574023,0,secondary,72.8,119.45,12,20.0,38.0,0.4728,moderate,2392.9,open,
road_closure,2026-08-27 16:00:00,2232107258_2232107278_0,2232107258,2232107278,0,secondary,68.7,73.42,7,27.0,38.0,0.2906,low,1979.1,open,
sudden_congestion,2026-08-27 15:00:00,636405426_636402844_0,636405426,636402844,0,secondary,58.7,25.34,2,50.5,60.0,0.1584,low,1279.5,open,
clearing,2026-08-27 21:00:00,2236575014_2236574934_0,2236575014,2236574934,0,secondary,69.4,26.66,3,34.0,38.0,0.1055,low,906.1,open,
heavy_congestion,2026-08-27 18:30:00,6308390702_13579713365_0,6308390702,13579713365,0,secondary,10.8,240.0,4,5.0,38.0,0.95,severe,1200.0,open,
multiple_congested,2026-08-27 18:00:00,4189240653_4189240657_0,4189240653,4189240657,0,secondary,20.3,170.55,5,12.3,38.0,0.6751,heavy,2105.7,open,
clearing,2026-08-27 21:00:00,6274877592_6274877596_0,6274877592,6274877596,0,secondary,84.3,29.55,3,33.6,38.0,0.117,low,991.7,open,
normal,2026-08-27 14:00:00,7544868655_571165854_0,7544868655,571165854,0,primary,50.0,65.91,4,33.9,45.0,0.2472,low,2232.9,open,
peak_hour,2026-08-27 18:30:00,1309519367_2178010195_0,1309519367,2178010195,0,secondary,114.7,89.37,14,26.5,60.0,0.5586,heavy,2367.1,open,
clearing,2026-08-27 21:00:00,2852573249_3153665295_0,2852573249,3153665295,0,primary,71.6,30.43,3,50.9,60.0,0.1522,low,1548.1,open,
peak_hour,2026-08-27 18:30:00,3612556378_3612556332_0,3612556378,3612556332,0,secondary,15.0,141.51,3,13.1,50.0,0.7371,severe,1860.5,open,
sudden_congestion,2026-08-27 15:00:00,364672161_5552095747_0,364672161,5552095747,0,secondary,61.7,59.98,5,29.0,38.0,0.2374,low,1738.1,open,
clearing,2026-08-27 21:00:00,7544080220_7544868671_0,7544080220,7544868671,0,primary,76.8,45.98,5,37.2,45.0,0.1724,low,1712.3,open,
multiple_congested,2026-08-27 18:00:00,13380610053_7690529906_0,13380610053,7690529906,0,secondary,220.5,131.11,39,10.8,60.0,0.8194,severe,1420.6,open,
road_closure,2026-08-27 16:00:00,9971768804_13361047695_0,9971768804,13361047695,0,primary,144.1,99.37,19,28.2,45.0,0.3727,moderate,2805.4,open,
normal,2026-08-27 14:00:00,11501962139_2859788053_0,11501962139,2859788053,0,secondary,22.1,54.3,2,29.8,38.0,0.215,low,1620.0,open,
clearing,2026-08-27 21:00:00,7010525798_7010525799_0,7010525798,7010525799,0,secondary_link,33.4,63.58,3,22.8,28.0,0.1854,low,1450.1,open,
sudden_congestion,2026-08-27 15:00:00,11138974497_5598880531_0,11138974497,5598880531,0,secondary,130.7,66.58,12,28.0,38.0,0.2635,low,1863.2,open,
road_closure,2026-08-27 16:00:00,928699967_3598273572_0,928699967,3598273572,0,secondary,38.8,67.9,4,27.8,38.0,0.2688,low,1886.7,open,
multiple_congested,2026-08-27 18:00:00,2244119387_2243959446_0,2244119387,2243959446,0,secondary,11.9,162.92,3,13.5,38.0,0.6449,heavy,2198.5,open,
sudden_congestion,2026-08-27 15:00:00,4614442649_11539848656_0,4614442649,11539848656,0,primary_link,4.3,122.96,1,20.8,30.0,0.3074,moderate,2554.9,open,
peak_hour,2026-08-27 18:30:00,3598254530_7712503421_0,3598254530,7712503421,0,primary,79.4,242.14,26,5.0,45.0,0.908,severe,1210.7,open,
road_closure,2026-08-27 16:00:00,3614583707_3614583603_0,3614583707,3614583603,0,primary,50.9,54.53,4,43.6,60.0,0.2726,low,2379.7,open,
peak_hour,2026-08-27 18:30:00,9576889305_9576889306_0,9576889305,9576889306,0,primary_link,20.0,273.64,7,9.5,30.0,0.6841,heavy,2593.3,open,
heavy_congestion,2026-08-27 18:30:00,3180201624_308783162_0,3180201624,308783162,0,primary,8.9,161.06,2,11.7,60.0,0.8053,severe,1881.6,open,
heavy_congestion,2026-08-27 18:30:00,7697842675_7697841757_0,7697842675,7697841757,0,secondary,102.1,165.57,23,13.1,38.0,0.6554,heavy,2168.2,open,
clearing,2026-08-27 21:00:00,11809274641_7733015020_0,11809274641,7733015020,0,primary,19.2,41.32,1,38.0,45.0,0.155,low,1571.3,open,
sudden_congestion,2026-08-27 15:00:00,10578470385_10578470384_0,10578470385,10578470384,0,primary_link,23.1,108.08,3,21.9,30.0,0.2702,low,2366.3,open,
peak_hour,2026-08-27 18:30:00,11068366259_2245994431_0,11068366259,2245994431,0,trunk,73.2,147.52,15,23.1,60.0,0.6147,heavy,3410.6,open,
sudden_congestion,2026-08-27 15:00:00,3614498704_1706620002_0,3614498704,1706620002,0,secondary,118.9,41.77,7,31.7,38.0,0.1653,low,1324.7,open,
heavy_congestion,2026-08-27 18:30:00,2199688101_4308409826_0,2199688101,4308409826,0,motorway_link,312.6,184.42,78,21.2,50.0,0.5763,heavy,3906.8,open,
clearing,2026-08-27 21:00:00,13754159678_2245993650_0,13754159678,2245993650,0,secondary,188.6,27.05,7,33.9,38.0,0.1071,low,917.7,open,
clearing,2026-08-27 21:00:00,1154031404_3184120708_0,1154031404,3184120708,0,primary,133.3,48.09,9,36.9,45.0,0.1803,low,1773.7,open,
peak_hour,2026-08-27 18:30:00,315058855_2236282988_0,315058855,2236282988,0,primary,114.6,190.0,30,5.0,60.0,0.95,severe,950.0,open,
road_closure,2026-08-27 16:00:00,3598395501_2584898240_0,3598395501,2584898240,0,secondary,33.6,75.92,3,26.6,38.0,0.3005,moderate,2018.0,open,
multiple_congested,2026-08-27 18:00:00,3218365579_3155783380_0,3218365579,3155783380,0,trunk,113.8,108.54,17,32.9,60.0,0.4522,moderate,3567.2,open,
multiple_congested,2026-08-27 18:00:00,7709900927_11484278220_0,7709900927,11484278220,0,secondary,25.2,149.33,5,15.5,38.0,0.5911,heavy,2320.3,open,
road_closure,2026-08-27 16:00:00,353720873_7718905862_0,353720873,7718905862,0,secondary,196.7,57.11,15,38.6,60.0,0.357,moderate,2203.6,open,
normal,2026-08-27 14:00:00,3168079962_2744380213_0,3168079962,2744380213,0,trunk,210.4,44.72,13,48.8,60.0,0.1863,low,2183.1,open,
peak_hour,2026-08-27 18:30:00,308779533_6507460666_0,308779533,6507460666,0,secondary,63.6,155.86,13,14.6,38.0,0.617,heavy,2268.7,open,
accident,2026-08-27 17:30:00,5486110632_5486110634_0,5486110632,5486110634,0,secondary,10.5,189.56,3,9.5,38.0,0.7504,severe,1798.3,open,
peak_hour,2026-08-27 18:30:00,7565612611_9931484646_0,7565612611,9931484646,0,secondary,234.1,169.92,54,12.4,38.0,0.6726,heavy,2114.0,open,
heavy_congestion,2026-08-27 18:30:00,11826881976_2730562484_0,11826881976,2730562484,0,trunk,18.1,154.14,4,21.5,60.0,0.6423,heavy,3308.6,open,
